question,answer
"You may, specifically, or you may ask vaguely. The answer will be the same.", It's important that we talk about this.
It's wildfire.," Wildfire? You wouldn't lie to me, would you, cousin?"
No.,MThat's a lie right there.
It is not a lie. Why would I lie?," Tell me, if the vile allegations against my brother and sister are true, do you think it will make Jaime more likely to kill you or less likely? When I tell him you're fucking her, I mean."
I'm telling you the truth., The smart money would be on more likely.
She's making wildfire., But then perhaps his own unnatural urges will give him sympathy for yours.
The Alchemists' Guild is being commissioned., I suppose there's only one way to find out.
They have thousands of pots already stored in their vaults. They are planning to launch it from the city walls into Stannis' ships and armies. Please., When did she tell you this?
"I heard her talking with the pyromancer. And the other night, after I left her, she went to meet him. I swear to you.", Swear to me on what?
On my life., But I don't care about your life.
"In the light of the Seven, by all that is holy and right, I, Lancel Lannister, do solemnly vow..."," All right, all right. Enough. Even torturing you is boring. Just get out."
There's that mind of yours you keep going on about.," Well, I've never actually been able to kill people with it."
Good thing. I'd be out of a job. What about your father?," He hasn't sent a raven in weeks. He's very busy. Being repeatedly humiliated by Robb Stark is time-consuming. We won't be able to hold the city against Stannis, not the way Joffrey's planning on holding it."
"We are swollen, bloated, foul. Brother fornicates with sister in the bed of kings and we're surprised when the fruit of their incest is rotten? Yes, a rotten king.", It's hard to argue with his assessment.
Not after what he did to your birthday present., The king is a lost cause. It's the rest of us I'm worried about now.
"A dancing king, prancing down his bloodstained halls to the tune of a twisted demon monkey.", You have to admire his imagination.
He's talking about you., What? Demon monkey?
People think you're pulling the king's strings. They blame you for the city's ills., Blame me? I'm trying to save them.
You don't need to convince me., Demon monkey.
"Take care, my lord."," I remember reading an old sailors' proverb, ""Piss on wildfire and your cock burns off. """
(scoffs), My companion takes issue.
The jars are put in catapults and flung at the enemy., How much do you have?
"I don't know if you've ever seen a battle, old man, but things can get a bit messy. 'Cause when we're flinging things at Stannis, he's flinging them right back at us. Men die, men shit themselves, men run, which means pots falling, which means fire inside the walls, which means the poor cunts trying to defend the city end up burning it down.", My friend remains unconvinced.
This is a shit idea.," I'm afraid I have to concur with my advisor, Wisdom Haylene. The contents of this room could lay King's Landing low. You won't be making wildfire for my sister any longer. You'll be making it for me."
Traitors! I'll have all their heads.," Oh, you blind, bloody fool!"
You can't insult me.," We've had vicious kings and we've had idiot kings, but I don't know if we've ever been cursed with a vicious idiot for a king."
You can't-," I can, I am."
They attacked me!," They threw a cow pie at you, so you decided to kill them all? They're starving, you fool! All because of a war you started."
Let them have her!," If she dies, you'll never get your Uncle Jaime back! You owe him quite a bit, you know."
RED KEEP HALLWAY, Take some men and go and find the Stark girl.
This way.," Are you hurt, my lady?"
The little bird's bleeding. Someone take her back to her cage. See to that cut.," Well done, Clegane."
How many times can you read one raven scroll?," Stannis Baratheon's fleet has been spotted sailing north past Tarth, two hundred ships."
More than we have.," Yes, that's more than we have. He'll be at our gates within five days, four if he has the wind."
"We have strong, high walls. We'll rain fire down on them from above."," ""Rain fire on them from above."" You're quoting Father, aren't you?"
"Why not? He has a good mind for strategy, doesn't he?"," Call it tactics, not strategy. But, yes, he does have a good mind for it. The best mind, some would say. Sadly, he's not here. It's just you, me and Joffrey, the Lord of the Seven Kingdoms and Protector of the Realm."
I'm sure you'll make a point eventually., He needs to start acting like a king. This war you started is coming to our doorstep. And if the entire city wants Joffrey dead
I'm not the one giving the boy whores to abuse., I thought the girls might help him.
Did you?, I was wrong. If we can't control him
Do you think I haven't tried? He doesn't listen to me., It's hard to put a leash on a dog once you've put a crown on its head.
I always hoped he'd be like Jaime. He looks like him. In a certain light., The boy is more Robert than Jaime.
"Robert was a drunken fool, but he didn't enjoy cruelty. Sometimes I wonder. What? If this is the price for what we've done, for our sins.", Sins?
"The Targaryens wed brother and sister for hundreds of years, I know. That's what Jaime and I would say to each other in our moments of doubt. It's what I told Ned Stark when he was stupid enough to confront me. Half the Targaryens went mad, didn't they? What's the saying? ""Every time a Targaryen is born, the Gods flip a coin."""," You've beaten the odds. Tommen and Myrcella are good, decent children, both of them."
I like to keep me hands clean.," Yes, but do you have to do it here?"
I don't want to wear a gold cloak., You're commander of the City Watch. You shouldn't be dressed like a common
"A cloak slows you down in a fight. Makes it hard to move quietly. And the gold catches the light, so you're nice and easy to spot at night."," Well, you're not sneaking through alleyways any longer. You're supposed to stand out."
We had a deal and wearing a gold cloak wasn't part of it.," Fine, fine. No gold cloak."
What?, What? What? Why are you staring at me?
(scoffs) You don't want me cleaning me nails. You don't want me looking your way. Why am I here?, To help me plan the defense of King's Landing.
Me and the lads rounded up all the known thieves., For questioning?
No. It's just the unknown thieves we need to worry about now., We talked about this.
What do we have?, Pig shit.
Odd little boy., I have a certain sympathy for odd little boys.
He's only a boy., Younger boys are off fighting his war.
He's not ready.," What is he, seventeen? Remember Jaime at seventeen?"
"Better than you. Some men have a gift for this sort of thing, some don't. His place is not on the battlefield."," It's not on the throne, either, sadly for all of us."
Do you think I'm an idiot?," No, I'd say you possess above-average intelligence."
You shipped off my only daughter. And now you want to send my eldest son to the battlefield to die., He'll have his Kingsguard protecting him. He has the finest armor gold can buy. He needs to be out there. The men will fight more fiercely seeing their king fighting beside them instead of hiding behind his mother's skirts. Any dessert?
Do you know why Varys is so dangerous?, Because he has thousands of spies in his employ. Because he knows everything we do before we do it.
Because he doesn't have a cock., Neither do you.
"Perhaps I'm dangerous, too. You, on the other hand, are as big a fool as every other man. That little worm between your legs does half your thinking.", It's not that little.
(laughs), Why are you smiling?
Because I'm happy., And why are you happy?
Because I have your little whore., I thought you preferred blondes.
"Such a droll little fellow. Tell me, have you married this one yet? No? Good. Father will be so pleased.", Why do you care who I fuck?
"Because a Lannister always pays her debts. You stole my only daughter, you plot to have Joffrey killed.", This is madness. Stannis will be here in days. You need me.
"For what? Your skill in battle? Pretty thing, your whore. Lovely body. The bruises will heal in time.", Where did you find her?
"Varys isn't the only one who hears whispers. Really, a Lannister lion necklace? You need to hide your secret whores more carefully.", You've forgotten the most important thing about whores.
"Oh? Well, you're the expert. Tell me."," You don't buy them, you only rent them."
"You're usually a better liar, baby brother. This one you like. You like her very much. Could it be love? Don't worry, she'll be treated gently enough. Unless Joffrey is hurt. And then every wound he suffers, she'll suffer, too. And if he dies, there isn't a man alive who could devise a more painful death for your little cunt.", And how do I know you haven't killed her already?
Don't forget me., Never.
Don't be afraid. I can take care of myself., There are people who want to hurt me.
I know. I won't let them. I'll cut off their faces. I will., I would kill for you. Do you know that? I expect I'll have to before this is over. You're mine.
I'm yours., Promise me.
The Stark forces are distracted. Now is the time to strike.," To strike? My dear nephew, you do see these men preparing the walls for siege? You do understand Stannis Baratheon sails this way?"
"If my Uncle Stannis lands on the shores of King's Landing, I'll ride out to greet him."," A brave choice, Your Grace. I'm sure your men will line up behind you."
I am trying., You're an intelligent man. I'd like to think I'm an intelligent man.
"Oh, no one disputes that, my lord, not even the multitudes who despise you."," I wish we could converse as two honest, intelligent men."
"I wish we could, too.", What do you want? Tell me.
"If we're going to play, you'll have to start."," My brother was the youngest Kingsguard in history. My sister became queen at the age of nineteen. When I reached manhood, my father put me in charge of all the drains and cisterns in Casterly Rock."
A most highborn plumber., The water never flowed better. And all the shit found its way to the sea. I never expected to have any real power. So when my father named me acting Hand
"You're quite good at being Hand, you know? Jon Arryn and Ned Stark were good men. Honorable men. But they disdained the game and those who played. You enjoy the game.", I do. Last thing I expected.
And you play it well.," I'd like to keep playing it. If Stannis breaches the gates, the game is over."
They say he burns his enemies alive to honor the Lord of Light.," The Lord of Light wants his enemies burned, the Drowned God wants them drowned. Why are all the gods such vicious cunts? Where is the god of tits and wine?"
"In the Summer Isles, they worship a fertility goddess with sixteen teats.", We should sail there immediately.
"This morning, I heard a song all the way from Qarth beyond the Red Waste. Daenerys Targaryen lives.", A girl at the edge of the world is the least of our problems.
"She has three dragons. But even if what they say is true, it'll be years before they are fully grown. And then there will be nowhere to hide."," One game at a time, my friend."
"Are you afraid, my lion?"," If the city falls, Stannis will burn every Lannister he can find. Of course I'm afraid."
I won't let them hurt you., I'm a Lannister. I don't have a choice in all this. But it's not your war.
It is now., You can't fuck your way out of everything.
"I've always hated the bells. They ring for horror. A dead king, a city under siege.", A wedding.
"Exactly. Podrick, is that it?"," ""Is that it?"" Nice touch. As if you don't know the name of every boy in town."
I'm not entirely sure what you're suggesting., I'm entirely sure you're entirely sure what I'm suggesting.
Do you trust him?," Oddly enough, I do."
Closer to fifty. The Targaryens built this city to withstand a siege and to provide escape if necessary.," I'm not escaping. Strange as it sounds, I'm the captain of the ship, and if the ship goes down, I go with her."
"That is good to hear. Though I'm sure many captains say the same while their ship is afloat. You look well suited for battle, my lord."," Well, I'm not."
"For all our sakes, I hope you are wrong. My little birds tell me that Stannis Baratheon has taken up with a red priestess from Asshai.", What of it?
"You don't believe in the old powers, my lord?"," Blood spells, curses, shape-shifting. What do you think?"
I think you believe in what you see and in what those you trust have seen. You probably don't entirely trust me.," Mmm, don't take it personally. I don't entirely trust myself."
"And yet I have seen things and heard things, things you have not, things I wish I had not. I don't believe I've ever told you how I was cut."," No, I don't believe you have."
KING'S LANDING," Remember, wait till the ships-"
The ships are in the bay., They must be far enough in-
"I know what ""in"" means. Do you know how to use that?"," I chopped wood once. No, I watched my brother chopping wood."
Don't get killed.," Nor you, my friend."
"Oh, are we friends now?", Of course we are. Just because I pay you for your services doesn't diminish our friendship.
"Enhances it, really."," Oh! ""Enhances."" Fancy word for a sellsword."
Shae.," Shae, yes. Surely my sister has asked you to join the other highborn ladies in Maegor's holdfast."
Sansa.," Always been a great romantic, my nephew."
"I will pray for your safe return, my lord.", Will you?
Where's our fleet?, On the way.
The king has asked you a question.," Ser Lancel, tell the Hound to tell the king that the Hand is extremely busy."
"If I tell the Hound to cut you in half, he'll do it without a second thought."," That would make me the quarterman. It just doesn't have the same ring to it. Cut me in half and I won't be able to give the signal. No signal, no plan. No plan and Stannis Baratheon sacks this city, takes the Iron Throne, puts your pinched little head atop a gate somewhere. It might be quite amusing, except that my head would be up there, too. I've never much liked my head, but I don't want to see it removed just yet."
There they are., Archers to their marks.
Nock arrows!, Hold fast.
What are you doing? We need to attack them., Hold fast.
HARBOR WALL," He's a serious man, Stannis Baratheon."
They're coming. They're coming ashore., Rain fire on them.
There are too many.," Hound, form a welcome party for any Baratheon troop that manages to touch solid ground. Pod, run to the King's Gate. Bring any men guarding it here, now."
"Eat shit, dwarf.", You're on the wrong side of the wall.
"Your Grace, the queen has sent me to bring you back to the Red Keep."," If you won't defend your own city, why should they?"
What would you have me do?, Lead. Get down there and lead your people against the invaders who want to kill them.
What are you talking about?," Pod, my helmet. Ser Mandon, you will bear the king's banner. Men, form up. Men Men! They say I'm half a man. But what does that make the lot of you?"
The only way out is through the gates. And they're at the gates., There's another way out. I'm going to show you. We'll come out behind them and fuck them in their arses.
BEHIND THE WALL," Don't fight for your king and don't fight for his kingdoms. Don't fight for honor. Don't fight for glory. Don't fight for riches, because you won't get any. This is your city Stannis means to sack. That's your gate he's ramming. If he gets in, it will be your houses he burns, your gold he steals, your women he will rape."
BEHIND THE WALL, Those are brave men knocking at our door. Let's go kill them.
"Protecting me, I assume. Will you let me in?"," No, I don't think so."
"I wanted to see your face. They said you'd lost your nose, but it's not as gruesome as all that.", The man who cut me lost more than his nose.
"I should hope so. The rebels came for Joffrey's head, they lost their own. Thanks to Father."," Thanks to Father. Of course, it wasn't a rebel who tried to kill me."
You're meeting Father today?, How do you know that?
Because I have hundreds of spies in my employ. The Master of Whisperers owes me a favor or two. Father told me. What do you want from him?," What do I want from him? He's my father. Do I need to want something? I'm sure he loves me dearly, as any father loves his child, his baby boy. Yet he hasn't come to visit once since arriving in King's Landing. I lay here, my face split in half, but Father never came."
You're going to make me cry., Why do you care what I want from him?
Because you've slandered me to Father before., Slandered? When?
You told him I had my guards beat that servant girl at Casterly Rock.," You did have your guards beat her. A girl of nine, I believe."
"I was nine, too."," She lost an eye, if I remember correctly."
"If I remember correctly, she never stole a necklace again.", It's not slander if it's true.
And what's this truth you plan on telling him today?, Why are you so nervous about what I'm going to say to Father?
"Because you're a liar. I expect you'll tell lies about me, about Joffrey.", Any lies in particular?
"You're a clever man, but you're not half as clever as you think you are.", Still makes me more clever than you.
"As much as I appreciate a walk in the sunshine, your lordship, I am wondering why you sent for me.", A number of people in this city want to kill me. You're here to protect me.
I've been doing that for a while now., Do you grow bored protecting me?
I grow poor protecting you.," Poor? Poor? Under my patronage you've become a knight, you've served as Commander of the City Watch."
Briefly., I'm sure you filled your pockets.
"And now my pockets are empty. You've given me a taste for the finer things. And if you want me to carry on protecting you, you'll need to pay more.", I thought we were friends.
We are. But I'm a sellsword. I sell my sword. I don't loan it out to friends as a favor., How much?
Double., Double?
I'm a knight now. Knights are worth double., I don't even know how much I'm paying you now.
Am I enjoying it?, I was very happy as Hand of the King.
You brought a whore into my bed., It wasn't your bed at the time.
"I sent you here to advise the king. I gave you real power and authority. You chose to spend your days as you always have, bedding harlots and drinking with thieves.", Occasionally I drank with the harlots.
"What do you want, Tyrion?", Why does everyone assume I want something? Can't I simply visit with my beloved father? My beloved father who somehow forgot to visit his wounded son after he fell on the battlefield.
Maester Pycelle assured me your wounds were not fatal.," I organized the defense of this city while you held court in the ruins of Harrenhal. I led the foray when the enemies were at the gate while your grandson, the king, quivered in fear behind the walls. I bled in the mud for our family. And as my reward, I was trundled off to some dark little cell. But what do I want? A little bloody gratitude would be a start."
You want Casterly Rock?, It is mine by right.
"(sighs) We'll find you accommodations more suited to your name and as a reward for your accomplishments during the battle of Blackwater Bay. And when the time is right, you will be given a position fit for your talents so that you can serve your family and protect our legacy. And if you serve faithfully, you will be rewarded with a suitable wife. And I would let myself be consumed by maggots before mocking the family name and making you heir to Casterly Rock.", Why?
What are you doing?, I have a list.
A list of people you mean to kill?," For laughing at me? Do I look like Joffrey to you? No, death seems a bit extreme. Fear of death, on the other hand-"
You should learn to ignore them.," My lady, people have been laughing at me far longer than they've been laughing at you. I'm the Halfman, the Demon Monkey, the Imp."
You're a Lannister. I am the disgraced daughter of the traitor Ned Stark., The disgraced daughter and the Demon Monkey. We're perfect for each other.
So how should we punish them?, Who? Whom?
Ser Eldrick Sarsfield and Lord Desmond Crakehall., Ah. I could speak to Lord Varys and learn their perversions. Anyone named Desmond Crakehall must be a pervert.
I hear that you're a pervert., I am the Imp. I have certain standards to maintain.
"(chuckles) We could sheep shift Lord Desmond's bed. You cut a little hole in his mattress and you stuff sheep dung inside. Then you sew up the hole and make his bed again. His room will stink, but he won't know where it's coming from.", Lady Sansa!
My sister used to do that when she was angry with me. And she was always angry with me., Why sheep shift?
That's the vulgar word for dung., My lady-
"Yes, I did. I'm going to have it served to Sansa at my wedding feast.", No. She is no longer yours to torment.
"Everyone is mine to torment. You'd do well to remember that, you little monster."," Oh, I'm a monster. Perhaps you should speak to me more softly, then. Monsters are dangerous and just now kings are dying like flies."
You're a fool if you believe he's the most powerful man in Westeros., A treasonous statement. Joffrey is king.
Mm-hmm.," Robb Stark had one, never lost a battle, and you defeated him all the same."
Mm-hmm.," Oh, I know. Walder Frey gets all the credit. Or the blame, I suppose, depending on your allegiance. Walder Frey is many things, but a brave man? No. He never would have risked such an action if he didn't have certain assurances."
Which he got from me. Do you disapprove?, I'm all for cheating. This is war.
But to slaughter them at a wedding. Explain to me why it is more noble to kill ten thousand men in battle than a dozen at dinner., So that's why you did it? To save lives?
"To end the war. To protect the family. Do you want to write a song for the dead Starks? Go ahead, write one. I'm in this world a little while longer to defend the Lannisters, to defend my blood.", The Northerners will never forget.
I believe you still have some work to do on that score., Do you think she'll open her legs for me after I tell her how we murdered her mother and brother?
"One way or another, you will get that girl pregnant.", I will not rape her.
Shall I explain to you in one easy lesson how the world works?, Use small words. I'm not as bright as you.
The house that puts family first will always defeat the house that puts the whims and wishes of its sons and daughters first. A good man does everything in his power to better his family's position regardless of his own selfish desires., (smirks)
Does that amuse you?," No, it's a very good lesson. Only it's easy for you to preach utter devotion to family when you're making all the decisions."
"Easy for me, is it?", When have you ever done something that wasn't in your interest but solely for the benefit of the family?
Deserve? Be careful with that. Start trying to work out who deserves what and before long you'll spend the rest of your days weeping for each and every person in the world., There's nothing worse than a late-blooming philosopher.
(chuckles), Will you be facing your marriage to Ser Loras with the same philosophical spirit?
I won't be marrying Ser Loras., I seem to remember saying something similar about my own marriage.
You're not me. You want to make things better for Sansa? Give her a child., So you can tell Father it was you who finally talked me into it?
So she can have some happiness in her life., You have children. How happy would you say you are?
"Not very. But if it weren't for my children, I'd have thrown myself from the highest window in the Red Keep. They're the reason I'm alive.", Even Joffrey?
Until we've dealt with all our enemies.," Every time we deal with an enemy, we create two more."
My lion., We've spoken of this. You cannot come here.
But you said I should come to you with any problems., Did anyone see you? No.
No., You sure? My father does not make idle threats. Having you killed would be the high point of his week. You have to be absolutely certain.
"I'm worried about Sansa. When she spoke with Lord Baelish, his friend warned me about him.", Baelish doesn't have friends.
I don't know her name.," Oh, Ros? The redhead?"
How do you know her?, I try to know as many people as I can. You never know which one you'll need.
She's a whore.," Yes, well, we shouldn't be judgmental about these things."
You fucked her.," Oh, please. All right, yes, I fucked her once. Twice."
And was she good? Did you like her?," Not as much as I like you, obviously, or she'd be the one torturing me right now. What did she say about Littlefinger?"
That Sansa shouldn't trust him., Is there an idiot in any village who trusts Littlefinger?
"A great beauty? Oh, a great beauty?"," Yes, she is, objectively, very. Her face is quite pleasing-to other men and to women, people in general. But not to me, of course. I only have eyes for you."
You pervert. You want her? This child?, I don't even want to talk about her.
But you are., Only because you're making me.
I didn't force you to open your mouth and make words come out., This is cruel and unfair. Cruelly unfair.
"Oh, the cruelty. Shae is so cruel to me."," Hmm, yes."
You'll leave for the Eyrie as soon as possible and bring Lysa Arryn into the fold. Then the young wolf can add his own aunt to the list of people who have taken up arms against him.," Far be it from me to hinder true love, but Lord Baelish's absence would present certain problems. The royal wedding may end up being the most expensive event in living memory. Summer has ended, hard days lie ahead. Not a good time to leave the crown's finances unattended."
(chuckles), Master of Coin?
It would appear to be a position that best suits your talents.," I'm quite good at spending money, but a lifetime of outrageous wealth hasn't taught me much about managing it."
I'm surprised you're surprised. This is the safest place in the city., Not for bastards.
"Thank you, my dear.", Pod. Pod. Take them outside. I'll be there in a moment.
I hear you owe that boy a significant debt.," Only my life. Not all that significant, I'm afraid."
You should have him knighted., If only the Master of Coin had such power.
If only. I owe you a significant debt. Our redheaded friend. You secured her release when the queen detained her.," Oh, that. Of course. A simple misunderstanding."
"Apparently, Her Grace believed that you two had some sort of special relationship.", We don't. I did fuck her once.
I know., But we don't.
I know. But how would the queen get that idea?, Why don't you ask her? Any advice for me on my new position?
Keep a low profile.," If I had a gold dragon for every time I heard that joke, I'd be richer than you are."
"Well, you are richer than I am.", Good point.
"They're only numbers. Numbers on paper. Once you understand that, it's easy to make them behave. Trivial even. You want a real challenge? Try whores."," I've tried quite a few. Well, lots of work to do. Enjoy the Eyrie."
"Tonight, then. Looks like dull reading.", You think all reading is dull reading.
It's an opinion I share with some of the finest men I know., The secret history of the Seven Kingdoms is written in these pages.
Unless Lord Twatbeard made up a bunch of numbers to hide what he's really up to.," Unless he made it all up, yes. Podrick, do keep up."
"Yes, my lord.", Podrick.
"Yes, my lord?"," After a long consultation with my colleague Ser Bronn, I finally found a suitable reward for the services you've provided over and above what might be considered reasonable. Tell me, Pod, have you ever been with a woman?"
"No, my lord.", Wonderful. Genna specializes in first-timers.
"My lord, I don't even", She's here to thank you for being a thoroughly respectful fellow who's never once failed to address me as 'my lord.
Let me guess. He's not a magician., No.
He's stealing it?," Worse, he's borrowing it."
What's wrong with that?," We can't afford to pay it back, that's what's wrong with it. The crown owes millions to my father."
"Seeing as it's his grandson's ass on the throne, I imagine he'll forgive that debt."," Forgive a debt, my father? For a man of the world, you're strangely naive."
I've never borrowed money before. I'm not clear on the rules.," Well, ahem, the basic principle is I lend you money, and after an agreed upon period of time, you return it with interest."
And what if I don't?," Well, you have to."
But what if I don't?," This is why I don't lend you money. Anyway, it's not my father I'm worried about. It's the Iron Bank of Braavos. We owe them tens of millions. If we fail to repay these loans, the bank will fund our enemies. One way or another, they always get their gold back."
The lad's practically skipping., You were gone a long time. I trust you got your money's worth. Or should I say my money's worth?
He's a squire. You don't pay him.," Oh, then it's much more than I give you in a year."
Maybe they're trying to curry some favor with the new Master of Coin., Have you ever known a whore to turn down gold? They were happy enough to take it when I gave it to them.
I didn't tell them anything., What did you do to them?
Lots of things., And they seemed to like these things?
Of course they seemed to like it. They're paid to seem to like it., Only they weren't paid.
"What are you saying? These ladies enjoyed him so much, they gave him the time for free?", Is that what you're telling us?
"Oh, Lord Tyrion. Come in, come in.", I hope we might speak. In confidence.
"Oh, no. It's a wonderful time.", I thought one of your little birds might have knowledge of my sister's intentions to-
End your life?," I didn't inherit Littlefinger's spies along with his position, I'm afraid. Which is why I'm coming to you. I need proof."
Proof? Will there be a trial?, I need to know.
"I have no proof, only whispers. Before all this nastiness, I was going to tell you the story of how I was cut. Do you want to hear it still?", I don't know. Do I?
"As a boy, I traveled with a troupe of actors through the Free Cities. One day in Myr, a certain man made my master an offer too tempting to refuse. I feared the man meant to use me as I'd heard some men used small boys. But what he wanted was far worse. He gave me a potion that made me powerless to move or speak, yet did nothing to dull my senses. With a hooked blade he sliced me, root and stem, chanting all the while. He burned my parts in a brazier. The flames turned blue and I heard a voice answer his call. I still dream of that night. Not of the sorcerer, not of his blade. I dream of the voice from the flames. Was it a god? A demon? A conjurer's trick? I don't know. But the sorcerer called and a voice answered. And ever since that day, I have hated magic and all those who practice it. But you can see why I was eager to aid in your fight against Stannis and his Red Priestess. A symbolic revenge of sorts."," Yes, ahem. I feel the need for actual revenge against the actual person who tried to have me killed. Which will require a degree of influence, which-"
I climbed all those steps to discuss financial matters?, It's the royal wedding. I'm told you had a hand in planning it.
Naturally., It's shaping up to be a very involved affair. The word extravagant has been used.
What good is the word extravagant if it can't be used to describe a royal wedding?, I understand that.
Good.," But, as Master of Coin, it falls upon me to calculate the cost for the crown. As of now, it's a huge expense."
And?," And we're at war, Lady Olenna."
"Oh, I'd nearly forgotten."," Yes, and maintaining supply lines-"
"I can't think how it slipped my mind. What is it, twelve thousand infantrymen the Tyrell family has supplied? Two thousand in support. Provisions so this city might survive the winter. A million bushels of wheat. Half a million bushels each of barley, oats, and rye. Twenty thousand head of cattle. Fifty thousand sheep. You don't have to lecture me about wartime expenses. I'm quite familiar with them.", And we are so grateful for your contributions which are necessary for the preservation of the realm.
"As is a royal wedding. The people are hungry for more than just food. They crave distractions. And if we don't provide them, they'll create their own. And their distractions are likely to end with us being torn to pieces. A royal wedding is much safer. Wouldn't you say?", I would.
And traditionally paid for by the royal family., (nods)
"I was told you were drunk, impertinent, and thoroughly debauched. You can imagine my disappointment at finding nothing but a browbeaten bookkeeper. Where did you go for them, Volantis?", My lady-
"Oh, very well. I won't have it said that House Tyrell refuses to play its part. We'll pay for half the expenses and the celebrations will go on as planned. Is that sufficient?", Quite sufficient. Thank you.
You're late., What's she doing here?
Never mind that now. We have something important to discuss., I'm Master of Coin. Saving money is important.
Your sister has learned that your new friends the Tyrells are plotting to marry Sansa Stark to Ser Loras.," Very well. She's a lovely girl. Missing some of Loras' favorite bits, but I'm sure they'll make do."
Your jokes are not appreciated.," It wasn't my best, but-"
"I bring them into the royal fold and this is how they repay me, by trying to steal the key to the North out from under me.", Sansa is the key to the North? I seem to remember she has an older brother.
The Karstarks have marched home. The young wolf has lost half his army. His days are numbered. Theon Greyjoy murdered both his brothers. That makes Sansa Stark the heir to Winterfell. And I am not about to hand her over to the Tyrells., The Tyrell army is helping us to win this war. Do you really think it's wise to refuse them?
There's nothing to refuse. This is a plot. Plots are not public knowledge. And the Tyrells won't carry this one out until after Joffrey's wedding. We need to act first and kill this union in its crib., And how do we do that?
We find Sansa Stark a different husband., Wonderful.
I can and I do., Joffrey has made this poor girl's life miserable since the day he took her father's head. Now she's finally free of him and you give her to me? That's cruel even for you.
"Do you intend on mistreating her? The girl's happiness is not my concern, nor should it be yours.", She's a child!
"There, you see? You will wed her, bed her, and put a child in her. Surely you're capable of that.", And if I refuse?
You wanted to be rewarded for your valor in battle. Sansa Stark is a finer reward than you could ever dare hope for. And it is past time you were wed., I was wed. Or don't you remember?
We can have them both killed., It's hard to say which of the four of us is getting the worst of this arrangement. Probably Sansa. Though Loras will certainly come to know a deep and singular misery.
The Tyrells were plotting to undermine our family. I did what I did to protect our family., I'm your family. A member of your family who has actively contributed to that family's survival. Whether or not you or Father or anyone else wants to admit it.
"I do admit it. If it weren't for your trick with the wildfire, Stannis would have sacked the city before Father got here. Our heads would still be rotting on the city gate.", Trying to have me killed is an odd way of saying thank you. There are two people in King's Landing who can give an order to a Kingsguard. Did you or did you not order Ser Mandon to kill me during the Battle of the Blackwater?
What do you want me to say?, I want you to tell me if my life is still in danger.
Probably. But not from Joffrey. He won't do anything now Father's here., Seven kingdoms united in fear of Tywin Lannister.
"Not the Tyrells. Soon they won't need to be afraid of him. Joffrey will belong to Margaery, the little doe-eyed whore. And so will his children and their children. History will be taken from our hands."," You may escape, at least. Once Jaime gets back, Ser Loras may come down with a terrible case of sword through bowels."
"When Jaime gets back, yes. But when do we think that's going to be? He's out there somewhere."," Jaime or not, I'm truly fucked."
"Good afternoon, Lord Tyrion. I was just trying on a gown for King Joffrey's wedding."," Yes, it should be quite a wedding. I need to speak with you, Lady Sansa."
Of course.," Alone, if I may."
"Shae. Please excuse her, Lord Tyrion. She's not from here. But I trust her, even though she tells me not to.", Sometimes we think we want to hear something and it's only afterwards when it's too late that we realize we wished we'd heard it under entirely different circumstances.
She's a foot taller than you., A tall child.
What's the youngest you've ever had?, Not that young.
How much older?, Older.
"You're a lord, she's a lady. And a beauty at that. I don't see the problem.", Shae isn't going to like it.
Shae is a whore. Are you gonna marry her? Eh? How did marrying a whore work out for you the first time?, I should never have told you about that.
"You want Shae, keep her. Wed one and bed the other. All you have to do is get a son in the Stark girl. He'll be Lord of Winterfell one day. You can rule the North in his name. You'll have two women and a whole kingdom of your own.", Two women to despise me and a whole kingdom to join them.
"You waste time trying to get people to love you, you'll end up the most popular dead man in town. (chuckles) You want to fuck that Stark girl. You just don't want to admit it.", I don't pay you to put evil notions in my head. The ones already there don't need company.
Chains?, Solid gold from the mines outside Lannisport. Smithed in Casterly Rock.
Golden chains., You could buy a ship with these.
Do I need a ship?, What?
Am I going somewhere?, Of course you're not going anywhere.
"So, am I invited to your wedding?", I didn't ask for this marriage. I didn't want it.
No? She's a beautiful girl. You said so yourself.," That doesn't mean that- this is duty, not desire."
Is that what you will tell yourself when you fuck her?, I don't have a choice. My father-
Does not rule the world. We can still go across the Narrow Sea., What would I do there? Juggle? I am a Lannister of Casterly Rock.
And I'm Shae the funny whore., My feelings for you have not changed. I will marry Sansa Stark and do my duty by her.
While I empty her chamber pot and lick your cock when you're bored?, I swear to you it will not be like that.
No? What will it be like?," I will buy you a good home somewhere in the city. You will have fine clothes, guards to keep you safe, servants. Any children we might have will be well provided for."
I'm not your lady., You are. You'll always be my lady.
"You look very handsome, my lord."," Oh, yes. The husband of your dreams. But you do look glorious. Perhaps we could have a moment alone. Do you mind? Podrick, could you escort Lady Stark's handmaiden?"
"I hope I will not disappoint you, my lord."," No, don't. You don't have to speak to me as a prisoner anymore. You won't be a prisoner after today. You'll be my wife. I suppose that's a different kind of prison. I just wanted to say- I'm just trying to say, very badly- I just- just want to say I know how you feel."
"I doubt that very much, my lord.", You're right. I have no idea how you feel. And you have no idea how I feel.
When I have to.," Well, today you have to."
"Will you pardon me, my lord?", Of course. Of course. En-enjoy.
You seem rather drunk., Rather less than I plan to be. Isn't it a man's duty to be drunk at his own wedding?
